CountryName,Year,Sex,Cause,NCD_Category,Total_Deaths,Age_Group,Deaths
Qatar,2019,1,I10,Hypertension,10.0,Age Group 1,5.0
Qatar,2019,1,I11,Hypertension,26.0,Age Group 1,13.0
Qatar,2019,1,I12,Hypertension,2.0,Age Group 1,1.0
Qatar,2019,1,I13,Hypertension,68.0,Age Group 1,34.0
Qatar,2019,1,I15,Hypertension,6.0,Age Group 1,3.0
Qatar,2019,1,I20,Heart Disease,2.0,Age Group 1,1.0
Qatar,2019,1,I21,Heart Disease,94.0,Age Group 1,47.0
Qatar,2019,1,I24,Heart Disease,6.0,Age Group 1,3.0
Qatar,2019,1,I25,Heart Disease,166.0,Age Group 1,83.0
Qatar,2019,1,I60,Stroke,22.0,Age Group 1,11.0
Qatar,2019,1,I61,Stroke,22.0,Age Group 1,11.0
Qatar,2019,1,I62,Stroke,6.0,Age Group 1,3.0
Qatar,2019,1,I63,Stroke,8.0,Age Group 1,4.0
Qatar,2019,1,I64,Stroke,26.0,Age Group 1,13.0
Qatar,2019,1,I67,Stroke,10.0,Age Group 1,5.0
Qatar,2019,1,I69,Stroke,2.0,Age Group 1,1.0
Qatar,2019,2,C15,Cancer,4.0,Age Group 1,2.0
Qatar,2019,2,C16,Cancer,12.0,Age Group 1,6.0
Qatar,2019,2,C18,Cancer,28.0,Age Group 1,14.0
Qatar,2019,2,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2019,2,C22,Cancer,16.0,Age Group 1,8.0
Qatar,2019,2,C25,Cancer,28.0,Age Group 1,14.0
Qatar,2019,2,E10,Diabetes,2.0,Age Group 1,1.0
Qatar,2019,2,E11,Diabetes,70.0,Age Group 1,35.0
Qatar,2019,2,E14,Diabetes,24.0,Age Group 1,12.0
Qatar,2019,2,I10,Hypertension,6.0,Age Group 1,3.0
Qatar,2019,2,I11,Hypertension,16.0,Age Group 1,8.0
Qatar,2019,2,I12,Hypertension,6.0,Age Group 1,3.0
Qatar,2019,2,I13,Hypertension,38.0,Age Group 1,19.0
Qatar,2019,2,I15,Hypertension,2.0,Age Group 1,1.0
Qatar,2019,2,I21,Heart Disease,22.0,Age Group 1,11.0
Qatar,2019,2,I25,Heart Disease,22.0,Age Group 1,11.0
Qatar,2019,2,I60,Stroke,8.0,Age Group 1,4.0
Qatar,2019,2,I61,Stroke,12.0,Age Group 1,6.0
Qatar,2019,2,I62,Stroke,4.0,Age Group 1,2.0
Qatar,2019,2,I64,Stroke,18.0,Age Group 1,9.0
Qatar,2019,2,I67,Stroke,4.0,Age Group 1,2.0
Qatar,2020,1,C01,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C02,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C06,Cancer,4.0,Age Group 1,2.0
Qatar,2020,1,C08,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C11,Cancer,4.0,Age Group 1,2.0
Qatar,2020,1,C13,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C15,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C16,Cancer,36.0,Age Group 1,18.0
Qatar,2020,1,C17,Cancer,6.0,Age Group 1,3.0
Qatar,2020,1,C18,Cancer,36.0,Age Group 1,18.0
Qatar,2020,1,C19,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2020,1,C22,Cancer,50.0,Age Group 1,25.0
Qatar,2020,1,C23,Cancer,4.0,Age Group 1,2.0
Qatar,2020,1,C25,Cancer,40.0,Age Group 1,20.0
Qatar,2020,1,C26,Cancer,2.0,Age Group 1,1.0
Qatar,2020,1,E10,Diabetes,4.0,Age Group 1,2.0
Qatar,2020,1,E11,Diabetes,66.0,Age Group 1,33.0
Qatar,2020,1,E13,Diabetes,58.0,Age Group 1,29.0
Qatar,2020,1,E14,Diabetes,44.0,Age Group 1,22.0
Qatar,2020,1,I10,Hypertension,52.0,Age Group 1,26.0
Qatar,2020,1,I11,Hypertension,12.0,Age Group 1,6.0
Qatar,2020,1,I12,Hypertension,56.0,Age Group 1,28.0
Qatar,2020,1,I13,Hypertension,2.0,Age Group 1,1.0
Qatar,2020,1,I15,Hypertension,4.0,Age Group 1,2.0
Qatar,2020,1,I21,Heart Disease,130.0,Age Group 1,65.0
Qatar,2020,1,I22,Heart Disease,10.0,Age Group 1,5.0
Qatar,2020,1,I24,Heart Disease,66.0,Age Group 1,33.0
Qatar,2020,1,I25,Heart Disease,150.0,Age Group 1,75.0
Qatar,2020,1,I60,Stroke,22.0,Age Group 1,11.0
Qatar,2020,1,I61,Stroke,18.0,Age Group 1,9.0
Qatar,2020,1,I63,Stroke,8.0,Age Group 1,4.0
Qatar,2020,1,I64,Stroke,66.0,Age Group 1,33.0
Qatar,2020,1,I67,Stroke,8.0,Age Group 1,4.0
Qatar,2020,1,I69,Stroke,10.0,Age Group 1,5.0
Qatar,2020,2,C07,Cancer,2.0,Age Group 1,1.0
Qatar,2020,2,C15,Cancer,2.0,Age Group 1,1.0
Qatar,2020,2,C16,Cancer,26.0,Age Group 1,13.0
Qatar,2020,2,C18,Cancer,26.0,Age Group 1,13.0
Qatar,2020,2,C19,Cancer,2.0,Age Group 1,1.0
Qatar,2020,2,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2020,2,C22,Cancer,12.0,Age Group 1,6.0
Qatar,2020,2,C23,Cancer,2.0,Age Group 1,1.0
Qatar,2020,2,C25,Cancer,20.0,Age Group 1,10.0
Qatar,2020,2,C30,Cancer,2.0,Age Group 1,1.0
Qatar,2020,2,E11,Diabetes,22.0,Age Group 1,11.0
Qatar,2020,2,E13,Diabetes,46.0,Age Group 1,23.0
Qatar,2020,2,E14,Diabetes,36.0,Age Group 1,18.0
Qatar,2020,2,I10,Hypertension,36.0,Age Group 1,18.0
Qatar,2020,2,I11,Hypertension,4.0,Age Group 1,2.0
Qatar,2020,2,I12,Hypertension,50.0,Age Group 1,25.0
Qatar,2020,2,I15,Hypertension,2.0,Age Group 1,1.0
Qatar,2020,2,I21,Heart Disease,24.0,Age Group 1,12.0
Qatar,2020,2,I24,Heart Disease,6.0,Age Group 1,3.0
Qatar,2020,2,I25,Heart Disease,28.0,Age Group 1,14.0
Qatar,2020,2,I60,Stroke,2.0,Age Group 1,1.0
Qatar,2020,2,I61,Stroke,6.0,Age Group 1,3.0
Qatar,2020,2,I62,Stroke,4.0,Age Group 1,2.0
Qatar,2020,2,I63,Stroke,2.0,Age Group 1,1.0
Qatar,2020,2,I64,Stroke,28.0,Age Group 1,14.0
Qatar,2020,2,I67,Stroke,8.0,Age Group 1,4.0
Qatar,2020,2,I69,Stroke,6.0,Age Group 1,3.0
United Arab Emirates,2019,1,C01,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C02,Cancer,4.0,Age Group 1,2.0
United Arab Emirates,2019,1,C04,Cancer,4.0,Age Group 1,2.0
United Arab Emirates,2019,1,C05,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C06,Cancer,4.0,Age Group 1,2.0
United Arab Emirates,2019,1,C07,Cancer,6.0,Age Group 1,3.0
United Arab Emirates,2019,1,C10,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C11,Cancer,8.0,Age Group 1,4.0
United Arab Emirates,2019,1,C15,Cancer,12.0,Age Group 1,6.0
United Arab Emirates,2019,1,C16,Cancer,48.0,Age Group 1,24.0
United Arab Emirates,2019,1,C17,Cancer,8.0,Age Group 1,4.0
United Arab Emirates,2019,1,C18,Cancer,94.0,Age Group 1,47.0
United Arab Emirates,2019,1,C19,Cancer,8.0,Age Group 1,4.0
United Arab Emirates,2019,1,C20,Cancer,12.0,Age Group 1,6.0
United Arab Emirates,2019,1,C22,Cancer,92.0,Age Group 1,46.0
United Arab Emirates,2019,1,C23,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C24,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C25,Cancer,68.0,Age Group 1,34.0
United Arab Emirates,2019,1,C31,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,1,C32,Cancer,12.0,Age Group 1,6.0
United Arab Emirates,2019,1,E10,Diabetes,30.0,Age Group 1,15.0
United Arab Emirates,2019,1,E11,Diabetes,72.0,Age Group 1,36.0
United Arab Emirates,2019,1,E13,Diabetes,6.0,Age Group 1,3.0
United Arab Emirates,2019,1,E14,Diabetes,24.0,Age Group 1,12.0
United Arab Emirates,2019,1,I10,Hypertension,76.0,Age Group 1,38.0
United Arab Emirates,2019,1,I11,Hypertension,44.0,Age Group 1,22.0
United Arab Emirates,2019,1,I12,Hypertension,10.0,Age Group 1,5.0
United Arab Emirates,2019,1,I13,Hypertension,12.0,Age Group 1,6.0
United Arab Emirates,2019,1,I20,Heart Disease,6.0,Age Group 1,3.0
United Arab Emirates,2019,1,I21,Heart Disease,360.0,Age Group 1,180.0
United Arab Emirates,2019,1,I22,Heart Disease,8.0,Age Group 1,4.0
United Arab Emirates,2019,1,I24,Heart Disease,64.0,Age Group 1,32.0
United Arab Emirates,2019,1,I25,Heart Disease,284.0,Age Group 1,142.0
United Arab Emirates,2019,1,I60,Stroke,22.0,Age Group 1,11.0
United Arab Emirates,2019,1,I61,Stroke,160.0,Age Group 1,80.0
United Arab Emirates,2019,1,I62,Stroke,36.0,Age Group 1,18.0
United Arab Emirates,2019,1,I63,Stroke,78.0,Age Group 1,39.0
United Arab Emirates,2019,1,I64,Stroke,18.0,Age Group 1,9.0
United Arab Emirates,2019,1,I67,Stroke,58.0,Age Group 1,29.0
United Arab Emirates,2019,1,I69,Stroke,12.0,Age Group 1,6.0
United Arab Emirates,2019,2,C02,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,C06,Cancer,4.0,Age Group 1,2.0
United Arab Emirates,2019,2,C09,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,C11,Cancer,6.0,Age Group 1,3.0
United Arab Emirates,2019,2,C14,Cancer,6.0,Age Group 1,3.0
United Arab Emirates,2019,2,C15,Cancer,10.0,Age Group 1,5.0
United Arab Emirates,2019,2,C16,Cancer,38.0,Age Group 1,19.0
United Arab Emirates,2019,2,C17,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,C18,Cancer,70.0,Age Group 1,35.0
United Arab Emirates,2019,2,C19,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,C20,Cancer,8.0,Age Group 1,4.0
United Arab Emirates,2019,2,C22,Cancer,56.0,Age Group 1,28.0
United Arab Emirates,2019,2,C23,Cancer,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,C25,Cancer,42.0,Age Group 1,21.0
United Arab Emirates,2019,2,E10,Diabetes,14.0,Age Group 1,7.0
United Arab Emirates,2019,2,E11,Diabetes,58.0,Age Group 1,29.0
United Arab Emirates,2019,2,E14,Diabetes,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,I10,Hypertension,50.0,Age Group 1,25.0
United Arab Emirates,2019,2,I11,Hypertension,16.0,Age Group 1,8.0
United Arab Emirates,2019,2,I12,Hypertension,6.0,Age Group 1,3.0
United Arab Emirates,2019,2,I13,Hypertension,20.0,Age Group 1,10.0
United Arab Emirates,2019,2,I15,Hypertension,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,I20,Heart Disease,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,I21,Heart Disease,108.0,Age Group 1,54.0
United Arab Emirates,2019,2,I22,Heart Disease,2.0,Age Group 1,1.0
United Arab Emirates,2019,2,I24,Heart Disease,30.0,Age Group 1,15.0
United Arab Emirates,2019,2,I25,Heart Disease,74.0,Age Group 1,37.0
United Arab Emirates,2019,2,I60,Stroke,18.0,Age Group 1,9.0
United Arab Emirates,2019,2,I61,Stroke,42.0,Age Group 1,21.0
United Arab Emirates,2019,2,I62,Stroke,16.0,Age Group 1,8.0
United Arab Emirates,2019,2,I63,Stroke,16.0,Age Group 1,8.0
United Arab Emirates,2019,2,I64,Stroke,8.0,Age Group 1,4.0
United Arab Emirates,2019,2,I67,Stroke,28.0,Age Group 1,14.0
United Arab Emirates,2019,2,I69,Stroke,12.0,Age Group 1,6.0
Qatar,2018,1,C01,Cancer,2.0,Age Group 1,1.0
Qatar,2018,2,C01,Cancer,2.0,Age Group 1,1.0
Qatar,2018,2,C02,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C03,Cancer,2.0,Age Group 1,1.0
Qatar,2018,2,C04,Cancer,2.0,Age Group 1,1.0
Qatar,2018,2,C08,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C11,Cancer,2.0,Age Group 1,1.0
Qatar,2018,2,C11,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C13,Cancer,4.0,Age Group 1,2.0
Qatar,2018,1,C14,Cancer,4.0,Age Group 1,2.0
Qatar,2018,2,C14,Cancer,4.0,Age Group 1,2.0
Qatar,2018,1,C15,Cancer,6.0,Age Group 1,3.0
Qatar,2018,2,C15,Cancer,4.0,Age Group 1,2.0
Qatar,2018,1,C16,Cancer,12.0,Age Group 1,6.0
Qatar,2018,2,C16,Cancer,8.0,Age Group 1,4.0
Qatar,2018,1,C17,Cancer,4.0,Age Group 1,2.0
Qatar,2018,2,C17,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C18,Cancer,46.0,Age Group 1,23.0
Qatar,2018,2,C18,Cancer,22.0,Age Group 1,11.0
Qatar,2018,1,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2018,2,C20,Cancer,8.0,Age Group 1,4.0
Qatar,2018,2,C21,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C22,Cancer,58.0,Age Group 1,29.0
Qatar,2018,2,C22,Cancer,24.0,Age Group 1,12.0
Qatar,2018,1,C23,Cancer,4.0,Age Group 1,2.0
Qatar,2018,2,C23,Cancer,8.0,Age Group 1,4.0
Qatar,2018,1,C25,Cancer,24.0,Age Group 1,12.0
Qatar,2018,2,C25,Cancer,16.0,Age Group 1,8.0
Qatar,2018,1,C26,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,C32,Cancer,2.0,Age Group 1,1.0
Qatar,2018,1,E14,Diabetes,138.0,Age Group 1,69.0
Qatar,2018,2,E14,Diabetes,82.0,Age Group 1,41.0
Qatar,2018,1,I11,Hypertension,54.0,Age Group 1,27.0
Qatar,2018,2,I11,Hypertension,44.0,Age Group 1,22.0
Qatar,2018,1,I12,Hypertension,2.0,Age Group 1,1.0
Qatar,2018,1,I13,Hypertension,24.0,Age Group 1,12.0
Qatar,2018,2,I13,Hypertension,22.0,Age Group 1,11.0
Qatar,2018,1,I15,Hypertension,2.0,Age Group 1,1.0
Qatar,2018,1,I21,Heart Disease,152.0,Age Group 1,76.0
Qatar,2018,2,I21,Heart Disease,36.0,Age Group 1,18.0
Qatar,2018,1,I24,Heart Disease,160.0,Age Group 1,80.0
Qatar,2018,2,I24,Heart Disease,8.0,Age Group 1,4.0
Qatar,2018,1,I25,Heart Disease,88.0,Age Group 1,44.0
Qatar,2018,2,I25,Heart Disease,18.0,Age Group 1,9.0
Qatar,2018,1,I60,Stroke,24.0,Age Group 1,12.0
Qatar,2018,2,I60,Stroke,8.0,Age Group 1,4.0
Qatar,2018,1,I61,Stroke,48.0,Age Group 1,24.0
Qatar,2018,2,I61,Stroke,10.0,Age Group 1,5.0
Qatar,2018,1,I62,Stroke,10.0,Age Group 1,5.0
Qatar,2018,2,I62,Stroke,2.0,Age Group 1,1.0
Qatar,2018,1,I63,Stroke,8.0,Age Group 1,4.0
Qatar,2018,2,I63,Stroke,4.0,Age Group 1,2.0
Qatar,2018,1,I64,Stroke,46.0,Age Group 1,23.0
Qatar,2018,2,I64,Stroke,42.0,Age Group 1,21.0
Qatar,2018,1,I67,Stroke,10.0,Age Group 1,5.0
Qatar,2018,2,I67,Stroke,2.0,Age Group 1,1.0
Qatar,2018,1,I69,Stroke,8.0,Age Group 1,4.0
Qatar,2018,2,I69,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,1,C029,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C060,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C068,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C069,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C07,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C119,Cancer,6.0,Age Group 1,3.0
Kuwait,2017,1,C140,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C158,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C159,Cancer,6.0,Age Group 1,3.0
Kuwait,2017,2,C159,Cancer,10.0,Age Group 1,5.0
Kuwait,2017,1,C160,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C168,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C169,Cancer,34.0,Age Group 1,17.0
Kuwait,2017,2,C169,Cancer,18.0,Age Group 1,9.0
Kuwait,2017,1,C170,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,2,C170,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C179,Cancer,8.0,Age Group 1,4.0
Kuwait,2017,2,C179,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C188,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C189,Cancer,116.0,Age Group 1,58.0
Kuwait,2017,2,C189,Cancer,84.0,Age Group 1,42.0
Kuwait,2017,1,C19,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C20,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C20,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C210,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C210,Cancer,6.0,Age Group 1,3.0
Kuwait,2017,1,C220,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,2,C220,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C221,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C229,Cancer,66.0,Age Group 1,33.0
Kuwait,2017,2,C229,Cancer,38.0,Age Group 1,19.0
Kuwait,2017,1,C23,Cancer,16.0,Age Group 1,8.0
Kuwait,2017,2,C23,Cancer,12.0,Age Group 1,6.0
Kuwait,2017,1,C240,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C249,Cancer,8.0,Age Group 1,4.0
Kuwait,2017,2,C249,Cancer,8.0,Age Group 1,4.0
Kuwait,2017,1,C252,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,2,C254,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C258,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,2,C258,Cancer,2.0,Age Group 1,1.0
Kuwait,2017,1,C259,Cancer,62.0,Age Group 1,31.0
Kuwait,2017,2,C259,Cancer,40.0,Age Group 1,20.0
Kuwait,2017,2,C269,Cancer,4.0,Age Group 1,2.0
Kuwait,2017,1,C329,Cancer,10.0,Age Group 1,5.0
Kuwait,2017,2,E107,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,1,E117,Diabetes,4.0,Age Group 1,2.0
Kuwait,2017,2,E117,Diabetes,4.0,Age Group 1,2.0
Kuwait,2017,1,E140,Diabetes,4.0,Age Group 1,2.0
Kuwait,2017,2,E140,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,1,E141,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,1,E142,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,2,E142,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,1,E145,Diabetes,36.0,Age Group 1,18.0
Kuwait,2017,2,E145,Diabetes,10.0,Age Group 1,5.0
Kuwait,2017,1,E146,Diabetes,2.0,Age Group 1,1.0
Kuwait,2017,1,E147,Diabetes,170.0,Age Group 1,85.0
Kuwait,2017,2,E147,Diabetes,250.0,Age Group 1,125.0
Kuwait,2017,1,E148,Diabetes,6.0,Age Group 1,3.0
Kuwait,2017,2,E148,Diabetes,8.0,Age Group 1,4.0
Kuwait,2017,1,E149,Diabetes,118.0,Age Group 1,59.0
Kuwait,2017,2,E149,Diabetes,108.0,Age Group 1,54.0
Kuwait,2017,1,I10,Hypertension,12.0,Age Group 1,6.0
Kuwait,2017,2,I10,Hypertension,2.0,Age Group 1,1.0
Kuwait,2017,2,I110,Hypertension,4.0,Age Group 1,2.0
Kuwait,2017,1,I119,Hypertension,104.0,Age Group 1,52.0
Kuwait,2017,2,I119,Hypertension,140.0,Age Group 1,70.0
Kuwait,2017,1,I120,Hypertension,6.0,Age Group 1,3.0
Kuwait,2017,2,I120,Hypertension,6.0,Age Group 1,3.0
Kuwait,2017,1,I129,Hypertension,8.0,Age Group 1,4.0
Kuwait,2017,2,I129,Hypertension,14.0,Age Group 1,7.0
Kuwait,2017,1,I139,Hypertension,4.0,Age Group 1,2.0
Kuwait,2017,2,I139,Hypertension,2.0,Age Group 1,1.0
Kuwait,2017,1,I200,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,1,I209,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,2,I209,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,1,I210,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,1,I219,Heart Disease,2194.0,Age Group 1,1097.0
Kuwait,2017,2,I219,Heart Disease,434.0,Age Group 1,217.0
Kuwait,2017,1,I249,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,1,I250,Heart Disease,2.0,Age Group 1,1.0
Kuwait,2017,1,I251,Heart Disease,144.0,Age Group 1,72.0
Kuwait,2017,2,I251,Heart Disease,88.0,Age Group 1,44.0
Kuwait,2017,1,I259,Heart Disease,274.0,Age Group 1,137.0
Kuwait,2017,2,I259,Heart Disease,124.0,Age Group 1,62.0
Kuwait,2017,1,I607,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,1,I609,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,2,I609,Stroke,4.0,Age Group 1,2.0
Kuwait,2017,1,I613,Stroke,4.0,Age Group 1,2.0
Kuwait,2017,1,I614,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,1,I619,Stroke,212.0,Age Group 1,106.0
Kuwait,2017,2,I619,Stroke,124.0,Age Group 1,62.0
Kuwait,2017,1,I635,Stroke,4.0,Age Group 1,2.0
Kuwait,2017,2,I635,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,1,I639,Stroke,294.0,Age Group 1,147.0
Kuwait,2017,2,I639,Stroke,198.0,Age Group 1,99.0
Kuwait,2017,2,I64,Stroke,2.0,Age Group 1,1.0
Kuwait,2017,1,I693,Stroke,2.0,Age Group 1,1.0
Kuwait,2018,1,C029,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,2,C029,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,2,C069,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,1,C07,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,1,C119,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,2,C140,Cancer,2.0,Age Group 1,1.0
Kuwait,2018,1,C159,Cancer,12.0,Age Group 1,6.0
Kuwait,2018,2,C159,Cancer,6.0,Age Group 1,3.0
